"country","percPoverty","dataYear","lessThan10","lessThan550"
"Equatorial Guinea","76.8000","2006","",""
"South Sudan","76.4000","2016","99.7000","98.4400"
"Madagascar","70.7000","2012","99.4100","97.0900"
"Guinea-Bissau","69.3000","2010","96.5600","92.2100"
"Eritrea","69","1993","",""
"Sao Tome and Principe","66.7000","2017","94.7400","86.1800"
"Burundi","64.9000","2013","99.7000","98.0200"
"DR Congo","63.9000","2012","99.3900","96.7800"
"Central African Republic","62","2008","97.7800","94.2600"
"Guatemala","59.3000","2014","72.1600","43.2900"
"Eswatini","58.9000","2016","84.7100","70.9300"
"Haiti","58.5000","2012","92.6400","73.5000"
"Sierra Leone","56.8000","2018","98.0100","92.0800"
"South Africa","55.5000","2014","73.6500","57.8500"
"Togo","55.1000","2015","97.5200","88.3100"
"Afghanistan","54.5000","2016","",""
"Zambia","54.4000","2015","95.5700","87.9500"
"Malawi","51.5000","2016","99.0700","96.3300"
"Liberia","50.9000","2016","99.3200","94.4600"
"Lesotho","49.7000","2017","91.9700","74.0600"
"Gambia","48.6000","2015","92.0500","68.0900"
"Yemen","48.6000","2014","99.1300","94.5500"
"Honduras","48.3000","2018","74","48.9900"
"Senegal","46.7000","2011","94.3600","81.8600"
"Sudan","46.5000","2009","95.9800","80.6900"
"Mozambique","46.1000","2014","96.8300","91.7700"
"Guinea","43.7000","2018","97.3100","85.7000"
"Comoros","42.4000","2013","86.5700","63.9400"
"Chad","42.3000","2018","97.0900","88"
"Mali","42.1000","2019","99.1700","93.2900"
"Mexico","41.9000","2018","55.7700","22.9600"
"Timor-Leste","41.8000","2014","",""
"Burkina Faso","41.4000","2018","97.5300","89.9600"
"Micronesia","41.2000","2013","90.5400","68.8100"
"Republic of the Congo","40.9000","2011","97.2900","91.9400"
"Niger","40.8000","2018","98.6100","91.8900"
"Nigeria","40.1000","2018","98.7600","92.0400"
"Papua New Guinea","39.9000","2009","93.8900","77.5700"
"Ivory Coast","39.5000","2018","93.1400","76.9000"
"Benin","38.5000","2019","95.5200","89.5400"
"Zimbabwe","38.3000","2019","93.0800","82.7800"
"Rwanda","38.2000","2016","97.4200","90.0400"
"Cameroon","37.5000","2014","87.8600","67.5900"
"Bolivia","37.2000","2019","49.1400","19.9000"
"Kenya","36.1000","2015","95.6200","83.8100"
"Colombia","35.7000","2019","55.8000","29.3700"
"Argentina","35.5000","2019","35.7600","14.4000"
"Syria","35.2000","2007","97.2300","88.6800"
"Gabon","33.4000","2017","65.1800","32.3700"
"Venezuela","33.1000","2015","",""
"Egypt","32.5000","2017","94.0200","73.4300"
"Angola","32.3000","2018","97.1600","89.1300"
"Mauritania","31","2014","88.8200","56.3300"
"Fiji","29.9000","2019","64.2200","24.5800"
"Palestine","29.2000","2018","57.3300","22.3200"
"Mongolia","28.4000","2018","62.3400","22.3000"
"Lebanon","27.4000","2011","15.2300","2.5000"
"Brazil","26.5000","2018","39.6600","19.6200"
"Armenia","26.4000","2019","86.8400","44.0200"
"Tanzania","26.4000","2017","97.7100","91.4000"
"Tuvalu","26.3000","2010","66.6800","30.1000"
"Tajikistan","26.3000","2019","76.6900","38.4900"
"Seychelles","25.3000","2018","16.7700","4.7600"
"Nepal","25.2000","2010","91.7300","67.9100"
"Saint Lucia","25","2016","38.9800","18.6100"
"Ecuador","25","2019","52.9900","25.3900"
"Palau","24.9000","2006","",""
"Nicaragua","24.9000","2016","68.0300","35.4900"
"Myanmar","24.8000","2017","85.9400","47.3800"
"Montenegro","24.5000","2018","31.7200","12.9200"
"Bangladesh","24.3000","2016","94.4200","76.0100"
"Pakistan","24.3000","2015","94.6400","75.9600"
"Bulgaria","23.8000","2019","16.0500","6.1000"
"Romania","23.8000","2018","23.6600","9.8200"
"Paraguay","23.5000","2019","39.5300","15.3600"
"Ethiopia","23.5000","2015","96.3300","85.6700"
"Ghana","23.4000","2016","78.4500","50.2700"
"Serbia","23.2000","2018","31.8500","4.9900"
"Latvia","22.9000","2018","7.7200","2.3700"
"El Salvador","22.8000","2019","56.0400","22.3100"
"Tonga","22.5000","2009","63.2400","23.9800"
"Panama","22.1000","2016","26.9400","12.1300"
"India","21.9000","2011","",""
"Kiribati","21.8000","2006","91.1800","65.1100"
"Estonia","21.7000","2018","2.9100","0.7100"
"North Macedonia","21.6000","2018","43.2400","16.5900"
"Uganda","21.4000","2016","95.8900","86.4800"
"Djibouti","21.1000","2017","88.9700","65.0900"
"Costa Rica","21","2019","31.3800","10.6200"
"Dominican Republic","21","2019","40.9100","12.4000"
"Spain","20.7000","2018","6.5500","2.4000"
"Lithuania","20.6000","2018","7.5300","2.4000"
"Samoa","20.3000","2013","65.8200","26.7800"
"Peru","20.2000","2019","48.3600","20.5700"
"Kyrgyzstan","20.1000","2019","89.6300","52.6000"
"Italy","20.1000","2018","5.5800","3.0500"
"Jamaica","19.9000","2012","62.0100","29.9300"
"Georgia","19.5000","2019","78.1800","42"
"Botswana","19.3000","2009","76.9400","57.6100"
"Iraq","18.9000","2012","86.4600","48.2900"
"United Kingdom","18.6000","2017","2.1300","0.8600"
"Croatia","18.3000","2018","9.7300","2.1400"
"Laos","18.3000","2018","90.7100","69.5100"
"Greece","17.9000","2018","13.8800","2.8600"
"United States","17.8000","2018","2.7500","1.7500"
"Cambodia","17.7000","2012","",""
"Luxembourg","17.5000","2018","1.3400","0.5800"
"Namibia","17.4000","2015","73.7400","54.0800"
"Portugal","17.2000","2018","6.1100","1.6400"
"Malta","17.1000","2018","0.5900","0.2700"
"Sweden","17.1000","2018","2.1600","1.2100"
"Bosnia and Herzegovina","16.9000","2015","11.7000","2.0100"
"Israel","16.9000","2018","10","2.4700"
"Philippines","16.7000","2018","84.3400","56.1200"
"Switzerland","16","2018","0.8400","0.1400"
"Jordan","15.7000","2018","58.6600","16.2500"
"Japan","15.7000","2018","2.4900","1.2100"
"Poland","15.4000","2018","16.7700","1.2000"
"Tunisia","15.2000","2015","54.4700","16.4100"
"Belgium","14.8000","2018","0.4200","0.1600"
"Germany","14.8000","2018","1.2400","0.5000"
"Cyprus","14.7000","2018","0.7300","0.0800"
"Turkey","14.4000","2018","30.4800","10.2000"
"Albania","14.3000","2012","66.4500","29.8600"
"Uzbekistan","14.1000","2013","93.2100","75.1400"
"Netherlands","13.6000","2019","0.7100","0.3400"
"France","13.6000","2018","0.4100","0.1100"
"Austria","13.3000","2018","1.5300","1.0400"
"Ireland","13.1000","2018","0.7200","0.4000"
"Vanuatu","12.7000","2010","92.9900","73.4400"
"Solomon Islands","12.7000","2012","96.1700","83.3800"
"Norway","12.7000","2018","0.6300","0.3600"
"Russia","12.6000","2018","22.4200","3.2700"
"Denmark","12.5000","2018","0.5700","0.2600"
"Australia","12.4000","2018","1.4800","0.7400"
"Hungary","12.3000","2018","6.7700","1.9400"
"Finland","12.2000","2019","0.3000","0.1900"
"Slovenia","12","2018","0.6200","0.0700"
"Canada","11.6000","2018","1.5000","0.7400"
"Mauritius","10.3000","2017","41.7000","10.3000"
"Czech Republic","10.1000","2018","",""
"Thailand","9.9000","2018","37.2000","6.1700"
"Indonesia","9.4000","2019","83.3100","52.8400"
"Iceland","8.8000","2017","0.2300","0.0400"
"Uruguay","8.8000","2019","16.7700","3.1600"
"Chile","8.6000","2017","18.6100","3.3800"
"Maldives","8.2000","2016","16.9000","1.9800"
"Bhutan","8.2000","2017","62.1600","28.9800"
"Moldova","7.3000","2018","59.5600","10.4400"
"Vietnam","6.7000","2018","55.2300","19.8700"
"Azerbaijan","6","2012","3.6900","0"
"Malaysia","5.6000","2018","10.1400","1.3900"
"Algeria","5.5000","2011","68.3000","20.8300"
"Belarus","5","2019","6.7600","0.2400"
"Morocco","4.8000","2013","61.6600","24.1000"
"Kazakhstan","4.3000","2018","40.9800","3.6700"
"Sri Lanka","4.1000","2016","74.6100","37.3200"
"Ukraine","1.1000","2019","25.3900","2.4800"
"China","0.6000","2019","43.3400","14.1000"
"Nauru","","2019","67.1900","27.2900"
"Belize","","2019","77.6300","53.7700"
"Cape Verde","","2019","65.7200","34.2300"
"Suriname","","2019","62.3400","38.3100"
"Guyana","","2019","53.9500","23.8400"
"Trinidad and Tobago","","2019","22.1500","6.1200"
"Slovakia","","2019","6.1300","2.4500"
"Turkmenistan","","2019","63.9800","30.3300"
"United Arab Emirates","","2019","0.7300","0"
"Somalia","","2019","99.6300","97.8700"
"Taiwan","","2019","0.5000","0.2500"
"South Korea","","2019","2.5000","0.7400"
"Iran","","2019","47.2500","16.5700"